"NEWID","REFMO","REFYR","UCC","PUBFLAG","VALUE","VALUE_","IMPNUM"
"02792155","11","2014","980000","2",7357.5833,,"4"
"02792155","11","2014","980000","2",7348.8333,,"5"
"02792155","12","2014","980000","2",7357.0833,,"1"
"02792155","12","2014","980000","2",7405.5,,"2"
"02792155","12","2014","980000","2",7404.3333,,"3"
"02792155","12","2014","980000","2",7357.5833,,"4"
"02792155","12","2014","980000","2",7348.8333,,"5"
"02792155","01","2015","980000","2",7357.0833,,"1"
"02792155","01","2015","980000","2",7405.5,,"2"
"02792155","01","2015","980000","2",7404.3333,,"3"
"02792155","01","2015","980000","2",7357.5833,,"4"
"02792155","01","2015","980000","2",7348.8333,,"5"
"02792155","11","2014","980071","2",6176.1667,,"1"
"02792155","11","2014","980071","2",6224.5833,,"2"
"02792155","11","2014","980071","2",6223.4167,,"3"
"02792155","11","2014","980071","2",6176.6667,,"4"
"02792155","11","2014","980071","2",6167.9167,,"5"
"02792155","12","2014","980071","2",6176.1667,,"1"
"02792155","12","2014","980071","2",6224.5833,,"2"
"02792155","12","2014","980071","2",6223.4167,,"3"
"02792155","12","2014","980071","2",6176.6667,,"4"
"02792155","12","2014","980071","2",6167.9167,,"5"
"02792155","01","2015","980071","2",6176.1667,,"1"
"02792155","01","2015","980071","2",6224.5833,,"2"
"02792155","01","2015","980071","2",6223.4167,,"3"
"02792155","01","2015","980071","2",6176.6667,,"4"
"02792155","01","2015","980071","2",6167.9167,,"5"
"02792225","11","2014","900090","2",37.5,,"1"
"02792225","11","2014","900090","2",37.5,,"2"
"02792225","11","2014","900090","2",37.5,,"3"
"02792225","11","2014","900090","2",37.5,,"4"
"02792225","11","2014","900090","2",37.5,,"5"
"02792225","12","2014","900090","2",37.5,,"1"
"02792225","12","2014","900090","2",37.5,,"2"
"02792225","12","2014","900090","2",37.5,,"3"
"02792225","12","2014","900090","2",37.5,,"4"
"02792225","12","2014","900090","2",37.5,,"5"
"02792225","01","2015","900090","2",37.5,,"1"
"02792225","01","2015","900090","2",37.5,,"2"
"02792225","01","2015","900090","2",37.5,,"3"
"02792225","01","2015","900090","2",37.5,,"4"
"02792225","01","2015","900090","2",37.5,,"5"
"02792225","11","2014","900150","2",60,,"1"
"02792225","11","2014","900150","2",60,,"2"
"02792225","11","2014","900150","2",60,,"3"
"02792225","11","2014","900150","2",60,,"4"
"02792225","11","2014","900150","2",60,,"5"
"02792225","12","2014","900150","2",60,,"1"
"02792225","12","2014","900150","2",60,,"2"
"02792225","12","2014","900150","2",60,,"3"
"02792225","12","2014","900150","2",60,,"4"
"02792225","12","2014","900150","2",60,,"5"
"02792225","01","2015","900150","2",60,,"1"
"02792225","01","2015","900150","2",60,,"2"
"02792225","01","2015","900150","2",60,,"3"
"02792225","01","2015","900150","2",60,,"4"
"02792225","01","2015","900150","2",60,,"5"
"02792225","11","2014","980000","2",97.5,,"1"
"02792225","11","2014","980000","2",97.5,,"2"
"02792225","11","2014","980000","2",97.5,,"3"
"02792225","11","2014","980000","2",97.5,,"4"
"02792225","11","2014","980000","2",97.5,,"5"
"02792225","12","2014","980000","2",97.5,,"1"
"02792225","12","2014","980000","2",97.5,,"2"
"02792225","12","2014","980000","2",97.5,,"3"
"02792225","12","2014","980000","2",97.5,,"4"
"02792225","12","2014","980000","2",97.5,,"5"
"02792225","01","2015","980000","2",97.5,,"1"
"02792225","01","2015","980000","2",97.5,,"2"
"02792225","01","2015","980000","2",97.5,,"3"
"02792225","01","2015","980000","2",97.5,,"4"
"02792225","01","2015","980000","2",97.5,,"5"
"02792225","11","2014","980071","2",97.5,,"1"
"02792225","11","2014","980071","2",97.5,,"2"
"02792225","11","2014","980071","2",97.5,,"3"
"02792225","11","2014","980071","2",97.5,,"4"
"02792225","11","2014","980071","2",97.5,,"5"
"02792225","12","2014","980071","2",97.5,,"1"
"02792225","12","2014","980071","2",97.5,,"2"
"02792225","12","2014","980071","2",97.5,,"3"
"02792225","12","2014","980071","2",97.5,,"4"
"02792225","12","2014","980071","2",97.5,,"5"
"02792225","01","2015","980071","2",97.5,,"1"
"02792225","01","2015","980071","2",97.5,,"2"
"02792225","01","2015","980071","2",97.5,,"3"
"02792225","01","2015","980071","2",97.5,,"4"
"02792225","01","2015","980071","2",97.5,,"5"
"02792245","11","2014","800940","2",322.4167,,"1"
"02792245","11","2014","800940","2",368.25,,"2"
"02792245","11","2014","800940","2",420.1667,,"3"
"02792245","11","2014","800940","2",433.25,,"4"
"02792245","11","2014","800940","2",328.8333,,"5"
"02792245","12","2014","800940","2",322.4167,,"1"
"02792245","12","2014","800940","2",368.25,,"2"
"02792245","12","2014","800940","2",420.1667,,"3"
"02792245","12","2014","800940","2",433.25,,"4"
"02792245","12","2014","800940","2",328.8333,,"5"
"02792245","01","2015","800940","2",322.4167,,"1"
