"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","TELBSNZ","TELBSNZ_","TELRESD","TELRESD_","TELCELL","TELCELL_","TINTNET","TINTNET_","TCABLE","TCABLE_","BILPERD","BILPERD_","QADINE1X","QADI_E1X","QADINE2X","QADI_E2X","QADINE3X","QADI_E3X","QADCAB1X","QADC_B1X","QADCAB2X","QADC_B2X","QADCAB3X","QADC_B3X","TELRES1X","TELR_S1X","TELRES2X","TELR_S2X","TELRES3X","TELR_S3X","TELCEL1X","TELC_L1X","TELCEL2X","TELC_L2X","TELCEL3X","TELC_L3X","QADAPG1X","QADA_G1X","QADAPG2X","QADA_G2X","QADAPG3X","QADA_G3X"
"20143",2796723,12,0,"1",.,"A",,"A","2","D","2","F","2","F",,"A",.,"A",60,"F",.,"A",.,"A",60,"F",.,"A",.,"A",.,"A",.,"A",213,"F",162,"F",75,"F",.,"A",.,"A",.,"A"
"20143",2796733,23,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",35,"D",35,"D",35,"D",.,"A",.,"A",.,"A"
"20143",2796763,53,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",52,"F",52,"F",52,"F",77,"F",77,"F",77,"F",9,"F",9,"F",9,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20143",2796773,42,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",47,"D",47,"D",47,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20143",2796773,43,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",180,"D",180,"D",180,"D",.,"A",.,"A",.,"A"
"20143",2796813,20,0,"1",.,"A","1","D","2","D","1","D","2","D",,"A",40,"D",40,"D",40,"D",.,"A",.,"A",.,"A",28,"G",29,"G",29,"G",62,"G",61,"G",61,"G",.,"A",.,"A",.,"A"
"20143",2796833,34,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",45,"F",45,"F",40,"F",65,"F",65,"F",50,"F",55,"F",55,"F",75,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20143",2796833,35,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",61,"D",61,"D",61,"D",.,"A",.,"A",.,"A"
"20143",2796843,24,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",88,"D",88,"D",88,"D",.,"A",.,"A",.,"A"
"20143",2796843,25,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",50,"D",50,"D",50,"D",.,"A",.,"A",.,"A"
