"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPFLUDX","VOPF_UDX","VOPPARKX","VOPP_RKX","VOPTOWX","VOPTOWX_","VOPDOCKX","VOPD_CKX","VOPPLCYX","VOPP_CYX","TANKGASX","TANK_ASX","QOIL3MCX","QOIL_MCX","JGASOXQV","JGAS_XQV","JDIESXQV","JDIE_XQV","VOPCLUBX","VOPC_UBX","VOPTOLLX","VOPT_LLX","VOPOILX","VOPOILX_"
"20131",2514395,33,0,"1",.,"A",6,"D",.,"A",.,"A",.,"A",.,"A",.,"A",120,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514445,38,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",225,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514475,46,0,"1",40,"D",.,"A",.,"A",.,"A",.,"A",.,"A",20,"D",810,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514485,42,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",180,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514515,97,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",900,"D",.,"A",.,"A",400,"D",.,"A"
"20131",2514535,64,0,"1",.,"A",100,"D",.,"A",.,"A",.,"A",.,"A",.,"A",144,"D",.,"A",.,"A",50,"D",.,"A"
"20131",2514575,36,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",255,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514585,53,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514595,75,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514605,51,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1440,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514615,54,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",10,"D",180,"D",.,"A",57,"D",.,"A",.,"A"
"20131",2514645,50,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2700,"D",.,"A",.,"A",225,"D",.,"A"
"20131",2514675,44,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1200,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514705,105,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",408,"D",750,"D",.,"A",.,"A",.,"A"
"20131",2514715,34,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",450,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514725,43,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",240,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514735,49,0,"1",.,"A",80,"D",.,"A",.,"A",.,"A",.,"A",.,"A",258,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514755,49,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514775,53,0,"1",.,"A",17,"D",.,"A",.,"A",.,"A",.,"A",.,"A",720,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514805,72,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",900,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514815,64,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",480,"D",.,"A",14,"D",.,"A",.,"A"
"20131",2514835,43,0,"1",.,"A",220,"D",.,"A",.,"A",.,"A",.,"A",.,"A",600,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514845,49,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",150,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514875,29,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",360,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514895,83,0,"1",.,"A",16,"D",.,"A",.,"A",.,"A",25,"D",.,"A",900,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514905,31,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514925,60,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",75,"D",525,"D",.,"A",.,"A",.,"A"
"20131",2514935,56,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",60,"D",1590,"D",810,"D",.,"A",.,"A",.,"A"
"20131",2514955,55,0,"1",.,"A",114,"D",.,"A",.,"A",.,"A",.,"A",.,"A",1080,"D",.,"A",.,"A",45,"D",.,"A"
"20131",2514965,54,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1500,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514975,63,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1200,"D",.,"A",119,"D",50,"D",.,"A"
"20131",2514985,74,0,"1",8,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",420,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2514995,82,0,"1",.,"A",64,"D",.,"A",.,"A",.,"A",.,"A",.,"A",36,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2515005,46,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",600,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2515025,84,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",624,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2515035,42,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",8,"D",.,"A",840,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2515045,26,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A"
"20131",2515055,83,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",225,"D",375,"D",.,"A",.,"A",.,"A"
"20131",2515075,40,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",50,"D",.,"A"
