"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20132",2686663,14,0,"1","105","D",.,"A",500,"D","1","D"
"20132",2686842,20,0,"1","200","D",.,"A",120,"D","2","D"
"20132",2692183,14,0,"1","105","D",.,"A",77,"D","2","D"
"20132",2705285,15,0,"1","105","D",.,"A",100,"D","2","D"
"20132",2709415,16,0,"1","105","D",.,"A",200,"D","2","D"
"20133",2580745,33,0,"1","105","D",1,"D",0,"D","1","D"
"20133",2581325,24,0,"1","105","D",.,"A",1200,"D","2","D"
"20133",2582045,13,0,"1","105","D",.,"A",300,"D","1","D"
"20133",2583915,25,0,"1","105","D",.,"A",350,"D","2","D"
"20133",2583915,26,0,"1","105","D",.,"A",400,"D","1","D"
"20133",2584155,46,0,"1","105","D",.,"A",182,"D","1","D"
"20133",2584355,54,0,"1","105","D",.,"A",116,"D","1","D"
"20133",2585335,28,0,"1","170","D",.,"A",100,"D","1","D"
"20133",2585665,58,0,"1","105","D",.,"A",90,"D","1","D"
"20133",2588325,18,0,"1","105","D",.,"A",125,"D","2","D"
"20133",2588735,38,0,"1","105","D",.,"A",525,"D","1","D"
"20133",2589255,38,0,"1","160","D",.,"A",30,"D","2","D"
"20133",2589315,58,0,"1","105","D",.,"A",200,"D","2","D"
"20133",2590565,51,0,"1","105","D",.,"A",165,"D","1","D"
"20133",2590675,46,0,"1","105","D",.,"A",1,"D","2","D"
"20133",2590965,14,0,"1","105","D",.,"A",321,"D","1","D"
"20133",2591975,35,0,"1","105","D",.,"A",35,"D","1","D"
"20133",2592065,46,0,"1","105","D",.,"A",420,"D","1","D"
"20133",2592385,54,0,"1","160","D",.,"A",50,"D","1","D"
"20133",2594995,33,0,"1","105","D",.,"A",808,"D","1","D"
"20133",2596145,38,0,"1","105","D",.,"A",1767,"D","1","D"
"20133",2596915,31,0,"1","105","D",.,"A",165,"D","2","D"
"20133",2597175,45,0,"1","105","D",.,"A",34,"D","1","D"
"20133",2597635,19,0,"1","200","D",.,"A",120,"D","1","D"
"20133",2598525,30,0,"1","160","D",.,"A",200,"D","1","D"
"20133",2599825,36,0,"1","105","D",.,"A",600,"D","1","D"
"20133",2599885,20,0,"1","105","D",.,"A",130,"D","2","D"
"20133",2600735,36,0,"1","105","D",.,"A",250,"D","1","D"
"20133",2600935,16,0,"1","105","D",.,"A",120,"D","1","D"
"20133",2600985,36,0,"1","105","D",.,"A",350,"D","1","D"
"20133",2601195,31,0,"1","160","D",.,"A",325,"D","2","D"
"20133",2603935,34,0,"1","105","D",.,"A",350,"D","1","D"
"20133",2604535,14,0,"1","200","D",.,"A",60,"D","1","D"
"20133",2604805,14,0,"1","105","D",.,"A",400,"D","1","D"
"20133",2605555,47,0,"1","105","D",.,"A",370,"D","2","D"
"20133",2605955,17,0,"1","170","D",.,"A",150,"D","2","D"
"20133",2606065,9,0,"1","105","D",.,"A",70,"D","2","D"
"20133",2606485,34,0,"1","105","D",.,"A",280,"D","1","D"
"20133",2606645,51,0,"1","150","D",.,"A",75,"D","1","D"
"20133",2606805,27,0,"1","105","D",1,"D",0,"D","1","D"
"20133",2607305,32,0,"1","105","D",.,"A",400,"D","2","D"
"20133",2609345,39,0,"1","105","D",.,"A",980,"D","1","D"
"20133",2610735,11,0,"1","105","D",.,"A",208,"D","2","D"
"20133",2612065,39,0,"1","105","D",.,"A",400,"D","1","D"
"20133",2612924,34,0,"1","105","D",.,"A",170,"D","1","D"
"20133",2613554,14,0,"1","105","D",.,"A",2500,"D","2","D"
"20133",2613554,15,0,"1","105","D",.,"A",1250,"D","2","D"
"20133",2614444,47,0,"1","105","D",.,"A",140,"D","2","D"
"20133",2616714,32,0,"1","105","D",.,"A",65,"D","1","D"
"20133",2617104,47,0,"1","105","D",.,"A",1425,"D","1","D"
"20133",2617144,43,0,"1","105","D",.,"A",359,"D","1","D"
"20133",2617144,44,0,"1","105","D",.,"A",25,"D","2","D"
"20133",2620284,17,0,"1","105","D",.,"A",180,"D","1","D"
