"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYC","VEHICYC_","VEHDISP","VEHDISP_","VDISPMO","VDISPMO_","SALEX","SALEX_","REIMBURX","REIM_URX","EXREIMBX","EXRE_MBX","LOANSTAT","LOAN_TAT","FINPAYMX","FINP_YMX","VEHICIC","VEHICIC_"
"20131",2565224,59,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","07","D"
"20131",2565244,57,0,"2","100","D","6","D","11","D",.,"A",.,"A",.,"A",,"C",.,"A","03","D"
"20131",2565474,36,0,"2","100","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2565634,37,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2566094,49,0,"1","200","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2566754,47,0,"1","100","D","4","D","11","D",.,"A",.,"A",.,"A","1","D",1700,"D","04","D"
"20131",2566934,28,0,"1","110","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2567094,121,0,"1","100","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2567414,59,0,"1","100","D","4","D","01","D",.,"A",5250,"D",.,"A","2","D",.,"A","03","D"
"20131",2567824,21,0,"1","100","D","6","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2568314,32,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2569624,41,0,"1","110","D","2","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2569654,54,0,"2","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2569934,51,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2569934,52,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2570284,61,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2570824,50,0,"2","110","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20131",2571654,49,0,"1","110","D","2","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2572024,22,0,"1","110","D","4","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2572284,56,0,"1","110","D","1","D","01","D",600,"D",.,"A",.,"A","2","D",.,"A","02","D"
