"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","QSUB3MCX","QSUB_MCX","SUBEXPX","SUBEXPX_","SUBMO","SUBMO_"
"20131",2520785,105,0,"1","150","D","1","D",29,"D",.,"A",,"A"
"20131",2520785,106,0,"1","200","D","1","D",20,"D",.,"A",,"A"
"20131",2520885,47,0,"1","830","D","1","D",295,"D",.,"A",,"A"
"20131",2521095,94,0,"1","200","D","1","D",60,"D",.,"A",,"A"
"20131",2521115,30,0,"1","150","D","1","D",0,"D",.,"A",,"A"
"20131",2521125,73,0,"1","150","D","1","D",0,"D",.,"A",,"A"
"20131",2521145,57,0,"1","150","D","1","D",0,"D",.,"A",,"A"
"20131",2521145,58,0,"1","840","D","1","D",100,"D",.,"A",,"A"
"20131",2521165,44,0,"1","810","D","1","D",110,"D",.,"A",,"A"
"20131",2521245,55,0,"1","150","D","1","D",10,"D",.,"A",,"A"
"20131",2521275,42,0,"1","830","D","1","D",19,"D",.,"A",,"A"
"20131",2521335,66,0,"1","150","D","1","D",36,"D",.,"A",,"A"
"20131",2521355,93,0,"1","150","D","1","D",20,"D",.,"A",,"A"
"20131",2521355,94,0,"1","840","D","1","D",100,"D",.,"A",,"A"
"20131",2521385,50,0,"1","150","D","2","D",100,"D",.,"A",,"A"
"20131",2521695,34,0,"1","150","D","1","D",200,"D",.,"A",,"A"
"20131",2521885,45,0,"1","830","D","1","D",60,"D",.,"A",,"A"
"20131",2521935,42,0,"1","150","D","1","D",200,"D",.,"A",,"A"
"20131",2521995,50,0,"1","150","D","1","D",20,"D",.,"A",,"A"
"20131",2521995,51,0,"1","830","D","1","D",16,"D",.,"A",,"A"
"20131",2522095,38,0,"1","830","D","1","D",134,"D",.,"A",,"A"
"20131",2522165,48,0,"1","830","D","1","D",219,"D",.,"A",,"A"
"20131",2522165,49,0,"1","930","D","1","D",60,"D",.,"A",,"A"
"20131",2522175,32,0,"1","830","D","1","D",120,"D",.,"A",,"A"
"20131",2522355,44,0,"1","840","D","1","D",40,"D",.,"A",,"A"
"20131",2522405,51,0,"1","150","D","1","D",50,"D",.,"A",,"A"
"20131",2522425,32,0,"1","150","D","1","D",60,"D",.,"A",,"A"
"20131",2522445,72,0,"1","150","D","1","D",36,"D",.,"A",,"A"
"20131",2522445,73,0,"1","830","D","1","D",330,"D",.,"A",,"A"
"20131",2522445,74,0,"1","830","D","1","D",60,"D",.,"A",,"A"
"20131",2522555,52,0,"1","830","D","1","D",165,"D",.,"A",,"A"
"20131",2522555,53,0,"1","830","D","1","D",165,"D",.,"A",,"A"
"20131",2522615,74,0,"1","150","D","1","D",30,"D",.,"A",,"A"
"20131",2522785,26,0,"1","150","D","1","D",43,"D",.,"A",,"A"
"20131",2522785,27,0,"1","150","D","1","D",30,"D",.,"A",,"A"
"20131",2522835,45,0,"1","150","D","1","D",30,"D",.,"A",,"A"
"20131",2522965,63,0,"1","830","D","1","D",75,"D",.,"A",,"A"
"20131",2523135,89,0,"1","150","D","1","D",60,"D",.,"A",,"A"
"20131",2523135,90,0,"1","200","D","1","D",20,"D",.,"A",,"A"
"20131",2523155,85,0,"1","150","D","1","D",78,"D",.,"A",,"A"
"20131",2523155,86,0,"1","810","D","1","D",0,"D",.,"A",,"A"
"20131",2523175,55,0,"1","200","D","1","D",0,"D",.,"A",,"A"
"20131",2523245,63,0,"1","830","D","1","D",390,"D",.,"A",,"A"
"20131",2523265,90,0,"1","840","D","1","D",0,"D",.,"A",,"A"
"20131",2523355,29,0,"1","150","D","1","D",24,"D",.,"A",,"A"
"20131",2523405,66,0,"1","830","D","1","D",55,"D",.,"A",,"A"
"20131",2523425,36,0,"1","830","D","1","D",72,"D",.,"A",,"A"
"20131",2523535,34,0,"1","150","D","1","D",51,"D",.,"A",,"A"
"20131",2523655,39,0,"1","150","D","1","D",0,"D",.,"A",,"A"
"20131",2523705,31,0,"1","150","D","1","D",25,"D",.,"A",,"A"
"20131",2523735,57,0,"1","150","D","1","D",29,"D",.,"A",,"A"
"20131",2523795,115,0,"1","150","D","1","D",18,"D",.,"A",,"A"
"20131",2523795,116,0,"1","150","D","1","D",25,"D",.,"A",,"A"
"20131",2523795,117,0,"1","150","D","1","D",20,"D",.,"A",,"A"
"20131",2523795,118,0,"1","150","D","1","D",20,"D",.,"A",,"A"
"20131",2523795,119,0,"1","830","D","1","D",250,"D",.,"A",,"A"
"20131",2523795,120,0,"1","830","D","1","D",57,"D",.,"A",,"A"
"20131",2524045,58,0,"1","150","D","1","D",20,"D",.,"A",,"A"
"20131",2524085,46,0,"1","830","D","1","D",246,"D",.,"A",,"A"
"20131",2524095,35,0,"1","150","D","1","D",45,"D",.,"A",,"A"
"20131",2524125,61,0,"1","150","D","1","D",8,"D",.,"A",,"A"
"20131",2524135,53,0,"1","840","D","1","D",24,"D",.,"A",,"A"
"20131",2524305,54,0,"1","150","D","1","D",0,"D",.,"A",,"A"
